"V2" "V3.Sum"
"1" "the" 4773758
"2" "to" 2765440
"3" "and" 2539692
"4" "a" 2417217
"5" "i" 2021251
"6" "of" 2011360
"7" "in" 1661742
"8" "it" 1156649
"9" "that" 1127166
"10" "for" 1124567
"11" "s" 1121434
"12" "is" 1075982
"13" "you" 1043609
"14" "on" 825169
"15" "with" 715156
"16" "was" 624801
"17" "my" 605258
"18" "at" 572016
"19" "be" 553658
"20" "this" 545715
"21" "have" 531129
"22" "we" 499665
"23" "are" 491560
"24" "he" 486490
"25" "but" 486034
"26" "as" 482851
"27" "not" 412236
"28" "so" 387701
"29" "from" 384754
"30" "me" 374779
"31" "they" 363462
"32" "t" 356617
"33" "all" 346399
"34" "will" 322478
"35" "by" 316533
"36" "or" 314438
"37" "just" 305395
"38" "said" 305296
"39" "what" 305080
"40" "up" 304250
"41" "out" 304152
"42" "an" 303556
"43" "your" 303041
"44" "one" 302178
"45" "his" 301897
"46" "about" 296402
"47" "if" 280436
"48" "m" 279883
"49" "like" 273746
"50" "when" 265876
"51" "who" 261058
"52" "has" 260269
"53" "can" 259994
"54" "there" 249276
"55" "more" 244331
"56" "do" 243588
"57" "had" 232518
"58" "get" 227684
"59" "time" 225150
"60" "she" 220852
"61" "her" 210251
"62" "their" 204759
"63" "no" 203868
"64" "some" 202402
"65" "new" 195509
"66" "been" 188124
"67" "our" 186275
"68" "uld" 183408
"69" "now" 181260
"70" "good" 180929
"71" "how" 179609
"72" "day" 178438
"73" "were" 178034
"74" "know" 164261
"75" "people" 162793
"76" "love" 162040
"77" "them" 162028
"78" "re" 149700
"79" "year" 147839
"80" "back" 145390
"81" "which" 144577
"82" "go" 142651
"83" "dont" 141969
"84" "than" 141259
"85" "first" 141239
"86" "see" 139672
"87" "after" 133981
"88" "into" 133124
"89" "make" 131564
"90" "also" 130533
"91" "its" 129044
"92" "other" 128025
"93" "only" 127856
"94" "over" 127754
"95" "going" 127081
"96" "think" 126642
"97" "last" 125733
"98" "then" 125288
"99" "great" 124753
"100" "him" 121181
"101" "much" 120985
"102" "because" 120376
"103" "us" 120113
"104" "today" 119370
"105" "well" 116707
"106" "too" 116314
"107" "really" 114611
"108" "way" 113397
"109" "could" 112943
"110" "u" 111987
"111" "here" 109336
"112" "got" 108760
"113" "even" 108758
"114" "ve" 106896
"115" "am" 105691
"116" "n" 105677
"117" "right" 104862
"118" "did" 104704
"119" "off" 103446
"120" "still" 103053
"121" "d" 102799
"122" "where" 99851
"123" "thanks" 99062
"124" "need" 97954
"125" "rk" 94866
"126" "very" 94740
"127" "most" 93808
"128" "life" 93307
"129" "any" 93292
"130" "ye" 92021
"131" "down" 91203
"132" "rt" 90610
"133" "before" 89701
"134" "many" 89278
"135" "those" 88852
"136" "should" 87122
"137" "say" 87039
"138" "take" 86431
"139" "being" 85772
"140" "made" 84974
"141" "come" 84336
"142" "these" 84149
"143" "man" 83818
"144" "home" 83621
"145" "little" 83326
"146" "never" 82242
"147" "week" 81287
"148" "best" 80588
"149" "may" 80334
"150" "night" 79853
"151" "willl" 79814
"152" "while" 78372
"153" "through" 77901
"154" "next" 77377
"155" "why" 77176
"156" "school" 76667
"157" "game" 75518
"158" "state" 74594
"159" "things" 74588
"160" "cant" 74509
"161" "lol" 73729
"162" "something" 72281
"163" "let" 70902
"164" "long" 69453
"165" "always" 68159
"166" "happy" 67425
"167" "around" 67337
"168" "better" 67288
"169" "another" 67141
"170" "ll" 66071
"171" "every" 65935
"172" "show" 65696
"173" "old" 65382
"174" "look" 64731
"175" "city" 64558
"176" "big" 64151
"177" "three" 63645
"178" "st" 62820
"179" "rld" 61434
"180" "same" 60593
"181" "again" 60454
"182" "since" 59522
"183" "p" 59473
"184" "few" 59316
"185" "feel" 58500
"186" "follow" 57405
"187" "such" 57169
"188" "help" 57095
"189" "hope" 56946
"190" "sure" 56781
"191" "thing" 56521
"192" "use" 55602
"193" "find" 55224
"194" "team" 54755
"195" "r" 54610
"196" "own" 54347
"197" "ever" 54089
"198" "lot" 54005
"199" "days" 53849
"200" "getting" 53838
